unidade;ano;mes;ineficiencia
HJK;2025;6;1,0959
HJK;2025;7;1,449
HJK;2025;8;1,318
HJK;2025;9;1,2914
HJK;2025;10;1,2911
HJK;2025;11;1,5651
HJK;2025;12;1,4907
HJXXIII;2022;1;1,3944
HJXXIII;2022;2;1,3239
HJXXIII;2022;3;1,0699
HJXXIII;2022;4;1,0852
HJXXIII;2022;5;1,1476
HJXXIII;2022;6;1,1483
HJXXIII;2022;7;1,3881000000000001
HJXXIII;2022;8;1,2495
HJXXIII;2022;9;1,2742
HJXXIII;2022;10;1,0727
HJXXIII;2022;11;1,2012
HJXXIII;2022;12;1,1071
HJXXIII;2023;1;1,2076
HJXXIII;2023;2;1,1426
HJXXIII;2023;3;1,17
HJXXIII;2023;4;1,189
HJXXIII;2023;5;1,2341
HJXXIII;2023;6;1,3938
HJXXIII;2023;7;1,6022
HJXXIII;2023;8;1,5283
HJXXIII;2023;9;1,5263
HJXXIII;2023;10;1,6639
HJXXIII;2023;11;1,3339
HJXXIII;2023;12;1,6944
HJXXIII;2024;1;1,6436000000000002
HJXXIII;2024;2;1,533
HJXXIII;2024;3;1,3568
HJXXIII;2024;4;1,3405
HJXXIII;2024;5;1,2452
HJXXIII;2024;6;1,2937
HJXXIII;2024;7;1,3377
HJXXIII;2024;8;1,3854
HJXXIII;2024;9;1,4157
HJXXIII;2024;10;1,4189
HJXXIII;2024;11;1,4751
HJXXIII;2024;12;1,4965
HJXXIII;2025;1;1,4294
HJXXIII;2025;2;1,4434
HJXXIII;2025;3;1,6155
HJXXIII;2025;4;1,3379
HJXXIII;2025;5;1,4978
HJXXIII;2025;6;1,4668
HJXXIII;2025;7;1,5574
HJXXIII;2025;8;1,5182
HJXXIII;2025;9;1,7435
HJXXIII;2025;10;1,4377
HJXXIII;2025;11;1,4136
HJXXIII;2025;12;1,719
HMAL;2022;1;0,0
HMAL;2022;2;0,0
HMAL;2022;3;0,0
HMAL;2022;4;0,0
HMAL;2022;5;0,0
HMAL;2022;6;0,0
HMAL;2022;7;0,0
HMAL;2022;8;0,0
HMAL;2022;9;0,0
HMAL;2022;10;0,0
HMAL;2022;11;0,0
HMAL;2022;12;0,0
HMAL;2023;1;0,0
HMAL;2023;2;0,0
HMAL;2023;3;0,0
HMAL;2023;4;0,0
HMAL;2023;5;0,0
HMAL;2023;6;0,0
HMAL;2023;7;0,0
HMAL;2023;8;0,0
HMAL;2023;9;0,0
HMAL;2023;10;0,0
HMAL;2023;11;0,0
HMAL;2023;12;0,0
HMAL;2024;1;0,0
HMAL;2024;2;0,0
HMAL;2024;3;0,0
HMAL;2024;4;0,0
HMAL;2024;5;0,0
HMAL;2024;6;0,0
HMAL;2024;7;0,0
HMAL;2024;8;0,0
HMAL;2024;9;0,0
HMAL;2024;10;0,0
HMAL;2024;11;0,0
HMAL;2024;12;0,0
HMAL;2025;1;0,0
HMAL;2025;2;0,0
HMAL;2025;3;0,0
HMAL;2025;4;0,0
HMAL;2025;5;0,0
HMAL;2025;6;0,0
HMAL;2025;7;0,0
HMAL;2025;8;0,0
HMAL;2025;9;0,0
HMAL;2025;10;0,0
HMAL;2025;11;0,0
HMAL;2025;12;0,0
HRAD;2022;1;1,4464
HRAD;2022;2;1,5527
HRAD;2022;3;1,4072
HRAD;2022;4;1,5044
HRAD;2022;5;1,4273
HRAD;2022;6;1,3746
HRAD;2022;7;1,3909
HRAD;2022;8;1,4119
HRAD;2022;9;1,4457
HRAD;2022;10;1,4351
HRAD;2022;11;1,3554
HRAD;2022;12;1,3597
HRAD;2023;1;1,3134
HRAD;2023;2;1,4429
HRAD;2023;3;1,345
HRAD;2023;4;1,1995
HRAD;2023;5;1,2098
HRAD;2023;6;1,1769
HRAD;2023;7;1,2646
HRAD;2023;8;1,2393
HRAD;2023;9;1,1863
HRAD;2023;10;1,1743
HRAD;2023;11;1,2463
HRAD;2023;12;1,1061
HRAD;2024;1;1,0531
HRAD;2024;2;0,9436
HRAD;2024;3;1,0165
HRAD;2024;4;1,0079
HRAD;2024;5;0,9956
HRAD;2024;6;1,1418
HRAD;2024;7;1,0506
HRAD;2024;8;1,1525
HRAD;2024;9;1,1701
HRAD;2024;10;1,1158
HRAD;2024;11;1,0793
HRAD;2024;12;1,1241
HRAD;2025;1;1,2246
HRAD;2025;2;1,0594
HRAD;2025;3;1,2125
HRAD;2025;4;0,998
HRAD;2025;5;1,148
HRAD;2025;6;1,1968
HRAD;2025;7;0,9564
HRAD;2025;8;1,0831
HRAD;2025;9;0,9603
HRAD;2025;10;0,8767
HRAD;2025;11;0,8462
HRAD;2025;12;0,9003
HRBJA;2022;1;1,8825000000000003
HRBJA;2022;2;3,1963
HRBJA;2022;3;2,4234
HRBJA;2022;4;2,3972
HRBJA;2022;5;2,7048
HRBJA;2022;6;2,5012
HRBJA;2022;7;2,1995
HRBJA;2022;8;1,951
HRBJA;2022;9;2,1137
HRBJA;2022;10;2,2279
HRBJA;2022;11;2,2435
HRBJA;2022;12;2,2216
HRBJA;2023;1;2,0575
HRBJA;2023;2;1,9634000000000003
HRBJA;2023;3;2,2882
HRBJA;2023;4;2,3536
HRBJA;2023;5;2,0551
HRBJA;2023;6;2,1036
HRBJA;2023;7;2,0499
HRBJA;2023;8;1,8773000000000002
HRBJA;2023;9;1,9859
HRBJA;2023;10;2,0011
HRBJA;2023;11;2,0131
HRBJA;2023;12;1,9672
HRBJA;2024;1;1,5988
HRBJA;2024;2;1,7102
HRBJA;2024;3;1,9702
HRBJA;2024;4;1,8891
HRBJA;2024;5;1,9489
HRBJA;2024;6;2,0146
HRBJA;2024;7;1,969
HRBJA;2024;8;2,0179
HRBJA;2024;9;1,599
HRBJA;2024;10;1,5912
HRBJA;2024;11;1,6851
HRBJA;2024;12;1,6398
HRBJA;2025;1;1,4969
HRBJA;2025;2;1,3492
HRBJA;2025;3;1,4684
HRBJA;2025;4;1,3237
HRBJA;2025;5;1,3811
HRBJA;2025;6;1,4875
HRBJA;2025;7;1,4807
HRBJA;2025;8;1,4999
HRBJA;2025;9;1,783
HRBJA;2025;10;1,5165
HRBJA;2025;11;1,5311
HRBJA;2025;12;1,5275
HRJP;2022;1;1,7349
HRJP;2022;2;1,4697
HRJP;2022;3;1,3326
HRJP;2022;4;1,5144
HRJP;2022;5;1,5349
HRJP;2022;6;1,4191
HRJP;2022;7;1,2736
HRJP;2022;8;1,6184000000000003
HRJP;2022;9;1,8064
HRJP;2022;10;1,8165
HRJP;2022;11;1,6057999999999997
HRJP;2022;12;1,0934
HRJP;2023;1;1,3495
HRJP;2023;2;1,4613
HRJP;2023;3;1,3537
HRJP;2023;4;1,4556
HRJP;2023;5;1,5288
HRJP;2023;6;1,5112
HRJP;2023;7;1,359
HRJP;2023;8;1,6483
HRJP;2023;9;1,7528
HRJP;2023;10;1,6564
HRJP;2023;11;1,687
HRJP;2023;12;1,9223
HRJP;2024;1;1,4854999999999998
HRJP;2024;2;1,822
HRJP;2024;3;1,7564
HRJP;2024;4;1,845
HRJP;2024;5;1,9315
HRJP;2024;6;1,9343
HRJP;2024;7;1,7161
HRJP;2024;8;1,8086
HRJP;2024;9;1,6845
HRJP;2024;10;1,7658
HRJP;2024;11;1,9544
HRJP;2024;12;1,6476
HRJP;2025;1;1,7948000000000002
HRJP;2025;2;1,6014
HRJP;2025;3;1,6276
HRJP;2025;4;1,7277
HRJP;2025;5;1,5541
HRJP;2025;6;1,5756
HRJP;2025;7;1,5708
HRJP;2025;8;1,4586
HRJP;2025;9;1,6705
HRJP;2025;10;1,5023
HRJP;2025;11;1,5734
HRJP;2025;12;1,5225
MOV;2022;1;1,6153
MOV;2022;2;1,3904
MOV;2022;3;1,4623
MOV;2022;4;1,4542
MOV;2022;5;1,3319
MOV;2022;6;1,3364
MOV;2022;7;1,3225
MOV;2022;8;1,4208
MOV;2022;9;1,2678
MOV;2022;10;1,4315
MOV;2022;11;1,3147
MOV;2022;12;1,3657
MOV;2023;1;1,3238
MOV;2023;2;1,4058
MOV;2023;3;1,3405
MOV;2023;4;1,4804
MOV;2023;5;1,4027
MOV;2023;6;1,5087
MOV;2023;7;1,3026
MOV;2023;8;1,3641
MOV;2023;9;1,3671
MOV;2023;10;1,5645
MOV;2023;11;1,3137
MOV;2023;12;1,2371
MOV;2024;1;1,2904
MOV;2024;2;1,3258
MOV;2024;3;1,4640000000000002
MOV;2024;4;1,3001
MOV;2024;5;1,2227
MOV;2024;6;1,2956
MOV;2024;7;1,3247
MOV;2024;8;1,4054
MOV;2024;9;1,2851
MOV;2024;10;1,2022
MOV;2024;11;1,2812
MOV;2024;12;1,3244
MOV;2025;1;1,3053
MOV;2025;2;1,2967
MOV;2025;3;1,4623999999999997
MOV;2025;4;1,2698
MOV;2025;5;1,3299
MOV;2025;6;1,4484
MOV;2025;7;1,4048
MOV;2025;8;1,3474
MOV;2025;9;1,2602
MOV;2025;10;1,3403
MOV;2025;11;1,1567
MOV;2025;12;1,2928
